Value,State
4,N
9,N
3,N
7,N
7,N
5,N
4,N
6,N
6,N
7,N
8,N
4,N
4,N
6,N
15,N
10,N
14,N
10,N
16,N
16,N
7,N
13,N
4,N
9,N
14,N
7,N
12,N
15,N
5,N
9,N
7,N
7,N
13,N
17,N
10,N
7,N
9,N
13,N
7,N
17,N
12,N
12,N
10,N
7,N
6,N
16,N
12,N
9,N
8,N
7,N
6,N
5,N
12,N
10,N
9,N
9,N
9,N
9,N
10,N
7,N
17,N
12,N
13,N
14,N
9,N
16,N
10,N
17,N
14,N
10,N
10,N
2,N
12,N
9,N
13,N
6,N
17,N
6,N
10,N
16,N
10,N
13,N
9,N
12,N
10,N
4,N
7,N
9,N
4,N
9,N
6,N
7,N
5,N
9,N
6,N
4,N
7,N
9,N
7,N
9,N
53,M
57,M
58,M
61,M
49,M
74,M
49,M
57,M
57,M
80,M
41,M
60,M
50,M
73,M
79,M
37,M
77,M
67,M
60,M
63,M
54,M
72,M
54,M
100,M
90,M
91,M
88,M
97,M
78,M
60,M
70,M
39,M
87,M
94,M
70,M
94,M
78,M
53,M
76,M
69,M
75,M
74,M
57,M
82,M
91,M
69,M
81,M
77,M
87,M
77,M
79,M
82,M
92,M
86,M
88,M
69,M
74,M
96,M
90,M
97,M
100,M
92,M
93,M
105,M
64,M
85,M
73,M
99,M
97,M
89,M
105,M
86,M
87,M
82,M
88,M
58,M
52,M
75,M
72,M
96,M
85,M
89,M
74,M
73,M
78,M
85,M
74,M
72,M
77,M
78,M
62,M
65,M
46,M
44,M
78,M
68,M
81,M
100,M
97,M
105,M
92,F
91,F
81,F
62,F
72,F
91,F
194,F
193,F
190,F
197,F
198,F
201,F
200,F
200,F
204,F
201,F
204,F
91,F
79,F
93,F
78,F
80,F
77,F
90,F
94,F
82,F
93,F
90,F
97,F
105,F
106,F
106,F
91,F
105,F
103,F
124,F
77,F
98,F
90,F
99,F
103,F
97,F
74,F
115,F
101,F
86,F
110,F
104,F
96,F
90,F
106,F
117,F
104,F
104,F
103,F
110,F
109,F
103,F
90,F
80,F
108,F
108,F
85,F
101,F
99,F
78,F
100,F
109,F
106,F
101,F
114,F
111,F
111,F
110,F
118,F
99,F
101,F
103,F
103,F
108,F
101,F
96,F
111,F
125,F
104,F
118,F
105,F
114,F
105,F
102,F
101,F
65,F
73,F
76,F
97,F
104,F
96,F
111,F
99,F
114,F
